Company Name,Description,Address,Telephone Number,Fax Number,Telex Number,Website,Email Address,Category
China Travel (Cargo) Logistics Centre Limited,"Provide modern logistics services, which include multi-modal freight forwarding, warehousing & transportation services.","No. 1 Cheong Tung Road,
Hunghom,
Kowloon,
Hong Kong. ",(852) 2534-9299,(852) 2334-9235,,,luna@hkcts.com , Freight Forwarders/Logistics
China Wheel Shipping (Holdings) Limited,"Established since 1997, consolidation business is our main focus and we provide comprehensive freight forwarding services in / out HK/China and worldwide.","7/F.,
Shiu Fung Hong Building,
239-241 Wing Lok Street,
Sheung Wan,
Hong Kong. ",(852) 2332-5051,(852) 2332-7715,,http://www.cws.com.hk,info@cws.com.hk, Freight Forwarders/Logistics
Chuang Xin (China) Group Limited,Physical bunker and marine lubricant supplier in Hong Kong,"Unit 2001-03A,
Sino Plaza,
255-257 Gloucester Road,
Causeway Bay,
Hong Kong.",(852) 2887-1301,(852) 2887-1871,,http://www.chuangxinhk.com,enquiry@chuangxinhk.com, Bunkers
Chugoku Marine Paints (HK) Ltd,"Regional representative of Chugoku Marine Paints, Japan.","Room 01, 22/F., Floor,
Island Place Tower,
510 King's Road,
North Point,
Hong Kong.",(852) 2576-6376,(852) 2576-3607,,http://www.cmp.co.jp/en/,"harold@cmp-hk.com.hk
awong@cmp-hk.com.hk", Paints & Coatings
Chun Ming Co,"Handle Port Formalities, Ship Husbanding and Crew Management","Blk F 14/F,
Kwun Lung Lau,
20 Lung Wah St.,
Kennedy Town,
Hong Kong.",(852) 2406-8482,(852) 2560-0423,,,chunming@yahoo.com, Local Shipping Agents
Chung Hing Tug Co,Towing barges and assisting berthing in Hong Kong and Guangdong waters.,"Flat B, 22/F,
Rice Merchants Bldg,
77-8 Connaught Rd W,
Hong Kong.","(852) 2549-2072
(852) 2549-0395",(852) 2546-2406,,,, Towage & Salvage
CITE Limited,"We handle radar, GYRO, autopilot, GPS for SIMRAD, KODEN, JMC, FUSO, SAURA.","Rm C-E, 16/F,
Yan's Tower,
25-27 Wong Chuk Hang Rd,
Aberdeen,
Hong Kong.",(852) 2552-0178,(852) 2873-0679,,http://www.cite.com.hk,cite@cite.com.hk , Marine Suppliers (Equipment)
CL Consolidators Services Ltd,Freight forwarding & logistics,"Unit 1801-02, 18/F.,
29 Austin Road,
Tsim Sha Tsui,
Kowloon,
Hong Kong.",(852) 2311-8836,(852) 2721-6079,,http://www.cl-consolidators.com,clhkg@cl-consolidators.com, Freight Forwarders/Logistics
Clarkson Asia Limited,Specialising in Sale and Purchase as well as Iron Ore Swaps and Freight Derivatives,"Room 3209-14,
Sun Hung Kai Centre,
30 Harbour Road,
Wan Chai,
Hong Kong.",(852) 2866-3111,(852) 2866-3068,,http://www.clarksons.com,clarksons@clarksons.com.hk, Ship Brokers
Clyde & Co,"International law firm delivering a full range of legal services to our core sectors: shipping, insurance & reinsurance, trade & aviation","58th Floor,
Central Plaza,
18 Harbour Road,
Wan Chai,
Hong Kong.",(852) 2878-8600,(852) 2522-5907,,http://www.clydeco.com,info.hongkong@clydeco.com, Maritime Law Firms
"CMS Logistics Group HongKong Co., Ltd.","CMS provides quality logistics services from Hong Kong & China to worldwide destinations especially to Korea & Japan no matter seafreight, airfreight & land transport. ","Unit B1, 22/F.,
TML Tower,
No. 3 Hoi Shing Road,
Tsuen Wan, 
New Territories, 
Hong Kong.",(852) 2614-6286 ,(852) 2614-6246,,http://www.cmsgroup.com.hk,rogerwong@cmsgroup.com.hk, Freight Forwarders/Logistics
Coastal Oil (HK) Ltd.,"Worldwide Bunker Supplier/Trader. Specialist in Hong Kong, Pearl River Delta Region and Singapore.","9 Floor,
Sinnga Commercial Centre,
144-151 Connaught Road West,
Hong Kong.",(852) 2851-8444,(852) 2851-7590,,http://www.coastalpetrol.com,coastalhk@coastalpetrol.com, Bunkers
Coba Enterprise Hong Kong Ltd.,"Food & Beverage, Sour-Cabbage (Vitamin-C-Bomb), Red-Cabbage, Cornichons, Potato-Mash, Fried, Dumplings, Pancakes, Sausages (Grill, Wiener, Franks, Weiss), Mustards & Sauces","11 Fl.,
Winfull Commercial Building,
172-176 Wing Lok Street,
Sheung Wan,
Hong Kong.",(852) 2815-2593,(852) 2815-1292,,http://www.coba-foods.hk,sales@coba-foods.hk, Marine Suppliers (General Stores)
Cockett Marine Oil (Asia),International and local bunker specialist. Physical supply and trading.,"Suite 1704,
Harcourt House,
39 Gloucester Road,
Wan Chai,
Hong Kong.",(852) 2111-9939,(852) 2111-9169,,http://www.cockettgroup.com,hongkong@cockettasia.com, Bunkers
Commonwealth of Dominica International Maritime Registry Hong Kong Regional Office Limited,"Registration in Dominica: Ships, Yachts and Offshore Companies. ","Rm 701-2, 7/F,
Fu Fai Commercial Centre,
27 Hillier Street,
Sheung Wan
Hong Kong.",(852) 6067-5608,,,http://dominica-registry.com/,hongkong@dominica-registry.com, Shipping Registries
Comprehensive International Freight Forwarders Ltd,A full range of sea/air freight logistics and solutions globally. ,"Room 1204-7,
COL Tower,
Wharf T & T Square,
123 Hoi Bun Rd,
Kwun Tong,
Kowloon,
Hong Kong.",(852) 2751-1600,(852) 2754-3873,,http://www.ciff.com.hk,ciff@ciff.com.hk, Freight Forwarders/Logistics
Conning Shipping Ltd,Port Agency Services in Hong Kong.,"7/F.,
Times Tower,
393 Jaffe Road,
Causeway Bay,
Hong Kong.",(852) 2739-9977,(852) 2723-0127,,,conningshipping@gmail.com, Local Shipping Agents
Consilium Hong Kong Co. Ltd.,"Consilium is one of the world's leading suppliers of fire and gas detection, navigation and emission monitoring systems for ships.","22/F., 
Hang Seng Bank North Point Branch Building,
339 King's Road,
North Point,
Hong Kong.","(852) 3521-1914
","(852) 2772-0730
",,http://www.consilium.se,sunny.chung@consilium.cn, Marine Suppliers (Equipment)
Control Risks,"Our services include maritime security planning, maritime risk assessments and intelligence, vessel security reviews,  counter-piracy operations, and kidnap and response.","Unit 1601-1603, 16/F, 
Lyndhurst Tower,
1 Lyndhurst Terrace,
Central,
Hong Kong.","(852) 6963-0040
","(852) 2810-9268
",,http://www.controlrisks.com,hongKong@controlrisks.com, Maritime Consultancy
COSCO-HIT Terminals (Hong Kong) Limited,"CHT is a JV between COSCO Pacific and HIT Holdings, an indirect wholly-owned subsidiary of Hutchison Port holdings Trust. ","CHT Tower,
Terminal 8 East,
Container Port Road South,
Kwai Chung,
Hong Kong. ",(852) 2991-8888,(852) 2485-3320,,,info@cosco.hit.com.hk, Container Terminals
Crawford (Hong Kong) Ltd.,"Marine Consultants, Surveyors to leading P&I Clubs, H+M Underwriters, Shipowners, Cargo Underwriters, Admiralty Lawyers and Brokers. Certified ISM/ISPS Auditors.","24F Sunshine Plaza,
353 Lockhart Road,
Wan Chai,
Hong Kong.","(852) 2526-5137
(852) 2101-0934
(852) 9094 2868",(852) 2845-0598,,http://www.crawfordandcompany.com,sumith.magamage@crawco.com.hk," Maritime Consultancy, Surveyors"
Crowley Accord Ship Management Limited,"Accord provides world class ship management, crew management, and technical services since 1992","10/F, 
118 Connaught Road, West
Sheung Wan,
Hong Kong.",(852) 2877-9009,"(852) 2877-9222
(852) 2524-2026",,http://www.accordship.net/,management@accordship.com.hk, Ship Management
Crump & Co,International; 35 years local experience; casualties; marine insurance; carriage of passengers and goods; recoveries; aviation; ship; yacht-contentious; non-contentious; injuries; shipbuilding; insolvency,"2009, 
Tower One,
Lippo Centre,
89 Queensway,
Admiralty,
Hong Kong.","(852) 2537-7000
(852) 9461-4377",(852) 2804-6615,,http://www.crump-co.com.hk,crumps@biznetvigator.com, Maritime Law Firms
CSX World Terminals Hong Kong Ltd,"CSX world Terminals Hong Kong offers round-the-clock, 365-days-a-year container terminal services.","Berth 3,
Kwai Chung Container Teminals,
Kwai Chung,
New Territories,
Hong Kong. ",,(852) 2614-4791,,http://www.dpworld.com,"yvonne.chu@dpworld.com
michael.mok@dpworld.com", Container Terminals
CTX Special Risks Limited,"High quality of broking and risk consultancy services in hull, P&I, cargo and marine liabilities, with reinsurance service provided.","8/F.,
Tai Tung Building,
8 Fleming Road,
Wan Chai,
Hong Kong. ",(852) 2527-9277,(852) 2527-2677,,http://www.ctx-risks.com,thomas_cheung@ctx-risks.com, Maritime Insurance 
"D.S. Marine, Ltd","Agents for repairyards in Asia, Spain, Europe-ARA & Mediterranean Sea; Bancosta Group, ViswaLab, Nippon Salvage, International SOS etc.","21AB Lockhart Centre,
301-307 Lockhart Rd,
Wan Chai,
Hong Kong.",(852) 2865-3378,(852) 2865-6806,,http://www.dsmarine.com.hk,dsmarine@netvigator.com, Local Shipping Agents
DCH Logistics Company Ltd,"We are total logistic provider, strong in cold chain management and repacking, international freight handling and distribution in China. ","67-73 Fuk Hi Street,
Yuen Long Industrial Estate,
Yuen Long, 
New Territories,
Hong Kong.",(852) 3966-2228,(852) 3966-2200,,http://www.dch.com.hk/english/hk_pre/hk_logistics/logistics/dch_logistics_hk/profile/index.php,achow@dchlogistics.com.hk, Freight Forwarders/Logistics
Delmas HK Ltd.,Weekly sailings to West and East Africa and vice versa.  ,"17/F, 
Tower B,
Manulife Financial Centre,
223-231 Wai Yip Street,
Kwun Tong,
Kowloon","(852) 2802-2086
(852) 3111-4810",(852) 2802-1966,,http://www.delmas.com,hka.delmashk@delmas.com, Shipping Companies
Delta Marine Services Ltd.,"Hull & machinery surveys, Risk management, Vessel construction/pre-entry/ condition surveys, Investigation/ Opinion for High Court and P&I Clubs.","Unit 1803, 18/F,
Fook Yip Building,
53-57 Kwai Fung Crescent,
Kwai Chung,
New Territories, 
HK.",(852) 2153-9233 ,(852) 2153-9237,,http://www.deltams.com.hk,general@deltams.com.hk, Surveyors
DLA Piper Hong Kong,"International law firm, advising on all aspects of shipping (dry and wet), trading and ship finance.","17/F,
Edinburgh Tower,
The Landmark,
15 Queen's Road,
Central,
Hong Kong.",(852) 2103-0754,(852) 2810-1345,,http://www.dlapiper.com,"nicholas.mallard@dlapiper.com
kevin.chan@dlapiper.com", Maritime Law Firms
DNV GL AS,DNV GL is the world's largest classification society providing classification and technical assurance along with software and advisory services to the maritime industry.,"21/F, 
No. 3 Lockhart Road,
Wan Chai,
Hong Kong.","(852) 2865-3332
(852) 3416-6703","(852) 2865-3513
(852) 3416-6810",,http://www.dnvgl.com,"mpchk220@dnvgl.com
gl-hong.kong@dnvgl.com", Classification Societies
Dong An Marine Safety Equipment Trading Ltd.,"Dong An specializes in the inspection, testing, selling and repair technical service for marine fire and life saving equipment.","1F., 
Chu Kong Group,
Shipyard Bldg,
93 Hing Wah St West,
Lai Chi Kok,
Kowloon,
Hong Kong. ","(852) 2815-0333
(852) 2408 6930",(852) 2419-2207,,http://www.yp.com.hk/das13024,dongan@yhckgs.com.hk , Marine Suppliers (Equipment)
Dong Woo Shipping Co Ltd,Break bulk carrier.,"Room 1408,
Cosco Tower,
183 Queen's Road C.,
Hong Kong.",(852) 2534-3700,(852) 2534-3754,(051) 94075275,,dwops@dongwoo.com.hk, Local Shipping Agents
Dr J H Burgoyne & Partners (Int'l) Ltd.,"Consulting scientists and engineers with expertise in the investigation of marine incidents including fires, explosions, cargo contamination and material/ metallurgical failures.","1606, Arion Commercial Centre,
2-12 Queen's Road West,
Sheung Wan,
Hong Kong.",(852) 2526-6731,(852) 2526-6755,,http://www.burgoynes.com,hongkong@burgoynes.com.hk, Maritime Consultancy
Dynamic Launch & Marine Service Ltd.,Provide 24 hours licensed passenger speed boat services within HK waters & OPL,"Unit A, 3/F,
Best-O-Best Commercial Centre, 
No. 32 Ferry Street,
Yau Ma Tei,
Kowloon,
Hong Kong.",(852) 2332-2215,(852) 2388-5225,,,dlms@netvigator.com, Passenger Ferry Services
East Asia Shipping (Hong Kong) Ltd.,Shipping Agent.,"22/F,
Dominion Centre,
43-59 Queen's Rd East,
Hong Kong.",(852) 2876-0608,(852) 2876-0665,73636 CENMA HX,,cenmari@pacificgroup.com.hk, Shipping Companies
East West Maritime Limited,"Shipping agents, liner agents, husbanding agents, crew agents, shipbrokers.","Room 503, 5/F,
Park Tower,
15 Austin Road,
Jordan, 
Kowloon,
Hong Kong.",(852) 2739-1911 ,(852) 2369-4820 ,,,ewsa@ewsa.com.hk," Local Shipping Agents, Ship Brokers, Shipping Companies"
Eastern Forum (FE) Co. Ltd.,"Water rescue equipment, life jacket, safty helmet, GPS, fire fighting, safety & survival","Unit A2, 1/F,
Fuk On Factory Building,
1123 Canton Road,
Kowloon,
Hong Kong. ",(852) 2787-3464,(852) 2787-6329,,http://www.rescue.com.hk,sales@rescue.com.hk , Others
"Eastern Worldwide Co, Ltd","Shipping agents, freight forwarders, stevedores , containerized freight services, warehousing, shipbrokers, multi-modal transport, logistics , barge & vehicle owners.","21/F,
Western Centre,
40-50 Des Voeux Rd West,
Hong Kong.",(852) 2592-3388,"(852) 2559-7090
(852) 2858-5512",(051) 94075526 EWCL G,http://www.eww.com.hk,ship@eww.com.hk, Local Shipping Agents
EastLink,"EastLink is a European-run shipping agent. We provide comprehensive logistics solutions specialising in project cargo, break bulk and container shipments.","812B, 8th Floor,
Hong Kong Plaza,
181-191 Connaught Road West,
Hong Kong.",(852) 2555-0373,"(852) 2555-0373
",,http://eastlink-logistics.hk,shipping@eastlinkgl.com, Freight Forwarders/Logistics
Ekaship Hardware Ltd,"Ekaship Hardware Ltd is a supplier and trader of wire rope, anchor, anchor chain, mooring chock,  bollard, ladder, equipment, etc.","Flat 03B, 15/F, 
Carnival Commercial Building,
18 Java Road,
North Point,
Hong Kong. ",(852) 2578-5898,(852) 2578-6896,,http://www.ekaship.com,sales@ekaship.com, Marine Suppliers (Equipment)
Elekon Company,"Sales, services, installation, project engineering technical support for full range of marine electronics and navigational aids equipment. ","Room 1202-3,
Kowloon Building,
555 Nathan Road,
Kowloon,
Hong Kong",(852) 2770-6161,(852) 2780-7197,,http://www.elekonmarine.com,elekon@elekonmarine.com ," Marine Suppliers (Equipment), Maritime Telecommunications"
Eletek Technology Limited,"Sales, service and GMDSS Radio Survey for marine electronic products.","Room2603-5,
Millennium City 3,
370 Kwun Tong Road,
Kwun Tong,
Kowloon,
Hong Kong.",(852) 2343-9833,(852) 2343-2223 ,,http://www.eletek.com,"service@eletek.com
sales@eletek.com "," Marine Suppliers (Equipment), Maritime Telecommunications"
Elite Logistics (HK) LTD.,We provide global sea/air transportation service; special project cargo; Hong Kong/China logistics services.,"Rm 2005,
Fook Yip Building,
No. 53-57, Kwai Fung Crescent,
Kwai Chung,
New Territories,
Hong Kong.",(852) 2375-1887,(852) 2375-1812,,http://www.elitelogistics.com.hk,elite@elitelogistics.com.hk, Freight Forwarders/Logistics
Endeavour Bunker Trading Company Limited,Professional trader for bunker and lubricants supply in Asia.,"Unit F, 23/Floor,
Lucky Plaza,
315-321 Lockhart Road,
Wan Chai,
Hong Kong.",(852) 2254-2888,(852) 2838-0390,,,marine@eb-bunker.com, Bunkers
Eternity Shipping Agencies Ltd.,"Ship managment, chartering, local agency and crew manning.","28C,
Yee On Building,
26 East Point Roaad,
Causeway Bay,
Hong Kong.",(852) 2545-1212 ,(852) 2541-2085 ,,,eternity@esal.com.hk ," Local Shipping Agents, Ship Management, Shipping Companies"
Ever Earn International Ltd.,"Shipping agency, owner representative office, subsea construction logistic support.","1706-07,
Workingfield Commercial Building,
408-412 Jaffe Road,
Causeway Bay,
Hong Kong. ",(852) 2559-3193 ,(852) 2559-3293 ,(051) 94078106 EEIL G ,,everearn@everearn.com.hk , Local Shipping Agents
Evergreen Marine (Hong Kong) Ltd.,Marine Transportation,"22-23 Floor,
Harcourt House,
39 Gloucester Rd,
Wan Chai,
Hong Kong,
",(852) 2825-8211,(852) 2845-9162,,http://www.evergreen-line.com,, Shipping Companies
Eversheds,"Expertise: Ship-arrests and release, defending Cargo claim, Logistics, B/Ls, Customs & Excise, Environmental, PI, Crew & Terminal, Charter-party and International Trade.","21/F,
Gloucester Tower,
The Landmark,
15 Queen's Road Central,
Hong Kong.","(852) 2186-3200
(852) 9171-9800",(852) 2186-3201,,http://www.eversheds.com/global/en/where/asia/hong-kong/services/logistics-and-transport/index.page,williamleung@eversheds.com, Maritime Law Firms
Expat Marine Limited,"Pleasure craft: Specialist coverage for all types including yachts, junks and speedboats - third party liability or comprehensive, marine cargo","Suite 2404,
Universal Trade Centre,
3-5A Arbuthnot Road,
Central,
Hong Kong. ",(852) 2893-3344 ,(852) 2838-0654,,http://www.expathk.com,expat@netvigator.com, Maritime Insurance 
Express Marine Electronics Company Limited,"Radar, GPS-Garmin, GMDSS Radio Survey-KR, FBB-Wideye, ECDIS-Lilley & Gillie, Radio-Entel, Gyro-Teledyne, EPIRB, SART-ACR, Antenna- ACMarine","Unit 2, 23/F,
Man Shing Industrial Building,
307-311 Castle Peak Road,
Kwai Chung,
New Territories,
Hong Kong. ",(852) 2904-6215,(852) 2904-6235,,http://www.eme.com.hk,info@eme.com.hk ," Marine Suppliers (Equipment), Maritime Telecommunications"
Fairmont Shipping (H.K.) Limited,Ship management and agency for affiliates and principals,"21st Floor,
Fairmont House,
8 Cotton Tree Drive,
Central, Hong Kong.",(852) 2521-8338,(852) 2810-4560,,,"vcrmnt@fairmontshipping.com
info@fairmontshipping.com"," Ship Management, Shipping Companies"
"Far East Marine Surveyors, Ltd","Professional maritime consultancy, ship survey for all concerned parties, training, valuation, esp. in Hong Kong and China mainland.","Rm 2904, 29/F.,
West Tower,
Shun Tak Centre,
200 Connaught Road Central,
Hong Kong.",(852) 2815-1708,(852) 2543-1349,,,ccsfe@netvigator.com , Surveyors
Fast-Link Express Limited,"IATA, FIATA, HAFFA member, provides worldwide air, sea and logistics services. Head office at Hong Kong and set up first class companies at China","Unit 07, 1/Fl., 
Block B,
Sun Fung Centre,
88 Kwok Shui Road.,
Tsuen Wan,
New Territories,
Hong Kong. ",(852) 2732-8888,(852) 2799-7545 ,,http://www.fastlink-hk.com,info@fastlink-hk.com, Freight Forwarders/Logistics
Fat Kee Stevedores Ltd,"Specialized in export cargo consolidation, DC operation, bonded warehousing, container transport, distribution logistics, project cargo handling and waste logistics management.","14B,
Waylee Industrial Centre,
30-38 Tsuen King Circuit,
Tsuen Wan,
New Territories,
Hong Kong. ",(852) 3717-1333,(852) 2420-6719 ,,http://www.fkstev.com,fkshqhk@fkstev.com," Container Depots, Containerized Freight Services, Godowns & Warehouses, Mid-Stream Operators, Ship Management"
Fedders Hydraulics Services Co.,"Specialist of hydraulic repair & hydraulic component supply. Marine crane services. Authorised service partner for brand, Bosch Rexroth, Uchida, Hagglunds.","Block B and C, 17/F., 
Glee Ind. Bldg.,
77-81 Chai Wan Kok St.,
Tsuen Wan,
New Territories,
Hong Kong. ","(852) 2492-1119
(852) 2492-1191",(852) 2492-9368,,http://www.feddershydraulics.com,feddersservices@biznetvigator.com, Marine Suppliers (Equipment)
Fenwick Shipping Services Ltd.,"Commercial, technical, crew management, shipping consultant.","Unit 5, 11/F, 
Block A,
Sea View Estate,
2-8 Watson Road,
North Point,
Hong Kong.",(852) 2508-1282,(852) 2510-7550,,http://www.fenwick.hk,fss@fenwick.hk , Shipping Companies
Feoso Oil Trading Limited,Physical bunker and marine lubricant suppliers with 5 self-owned oil barges for total capacity of 7600MT.,"9-11th Floors,
Feoso Building,
877 Lai Chi Kok Road,
Kowloon,
Hong Kong.",(852) 3162-3888,(852) 3162-3600,,http://www.feoso.com,feosobkr@feoso.com.hk, Bunkers
Ferguson International Freight Forwarders Ltd.,Console /LCL/ FCL / Sea & Air / transportation / warehouse / FMCG/ 3PL/ P&P/ buyer own console / cargo survey and etc.,"Unit C1, 35th Floor,
TML Tower,
3 Hoi Shing Road,
Tsuen Wan,
New Territories,
Hong Kong.",(852) 3151-5566,(852) 3151-5568,,http://www.ferguson-international.com,enquiry@ferguson-international.com, Freight Forwarders/Logistics
Fiege Ltd.,"Airfreight, seafreight, contract logistics. ","Unit B 20/F.,
78 Hung To Road,
Kwun Tong,
Kowloon,
Hong Kong.",(852) 2892-0668 ,(852) 2892-0126,,http://www.fiege.com,, Freight Forwarders/Logistics
Fine Sky Logistics Ltd,"Air Freight Logistics, ex South China/HKG","Flat B02 10/F.,
Tsuen Wan, Ind., Bldg.,
59-71 Wang Lung Street,
Tsuen Wan,
New Territories,
Hong Kong.",(852) 2612-0912,(852) 2612-1950,,http://www.finesky.com.hk,roydi@finesky.com.hk, Freight Forwarders/Logistics
Flamely Shipping Ltd,"Local shipping agents, freight forwarders","Room 401,
Cheong Tai Commercial Bldg.,
60-66 Wing Lok Street,
Sheung Wan,
Hong Kong.",(852) 2180-8585,(852) 2180-8586 ,(051) 94075475 FLAM G,,flamely@flamely.com.hk ," Freight Forwarders/Logistics, Local Shipping Agents"
Fleet Management Limited,"Ship Management, Crew Management, Commercial Management, New Building Project Management, Insurance, Pre-purchase Inspections and Agency Services.","11/F,
Dah Sing Financial Centre,
108 Gloucester Road,
Wan Chai,
Hong Kong.",(852) 2298-8300,(852) 2528-1550,,http://www.fleetship.com,fml@fleetship.com, Ship Management
Flying Leaf Shipping Ltd.,"Ship management, ship agency and chartering.","Rm C-D, 14/F,
Trust Tower,
68 Johnston Road,
Wan Chai,
Hong Kong.",(852) 2866-1205,(852) 2866-1676,,,flsl@flyleaf.imsbiz.com.hk, Ship Management
Flynt International Forwarders Ltd,"International freight forwarder, customs clearance agent, logistic handling, expertise to handle the concert and exhibition shipments. ","Flat 1-3, 3/F,
Newport Centre, Phase 2,
116 Ma Tau Kok Road,
To Kwa Wan, 
Kowloon,
Hong Kong.",(852) 2627-6100,(852) 2764-0664,,http://www.flyntworldwide.com,info@flyntworldwide.com, Freight Forwarders/Logistics
Fortune Ferry Co Ltd,Ferry & transportation services,"North Point East,
Passenger Pier East Berth,
North Point,
Hong Kong.",(852) 2994-8155,(852) 2565-8683,,http://www.fortuneferry.com.hk/,info@fortuneferry.com.hk , Passenger Ferry Services
Fortune Marine Wholesale Ltd,"[Marine Suppliers (Equipment)] 
Explosion proof ATEX lighting plus marine electrical.
[Marine Suppliers (General Stores)] 
Explosion proof ATEX lighting including Head Light, Rechargeable Safety Hand Lamp, Rescue Hand Lamp, Air Turbo Lamp, Fluorescent Ceiling Light.","10th Floor, Unit A & B,
Centre Mark II,
No. 305 Queen's Road,
Central, 
Hong Kong.",(852) 2541-3813,(852) 2542-3759,,http://www.fortunemarine.com,info@fortunehongkong.com," Marine Suppliers (General Stores), Marine Suppliers (Equipment)"
Fortune Protection Safety Ltd,"Explosion proof ATEX lighting including Head Light, Rechargeable Safety Hand Lamp, Rescue Hand Lamp, Air Turbo Lamp, Fluorescent Ceiling Light.","10th Floor, Unit A & B,
Centre Mark II,
No. 305 Queen's Road,
Central, 
Hong Kong.",(852) 2541-3813,(852) 2542-3759,,http://www.fortunemarine.com,info@fortunehongkong.com, Marine Suppliers (General Stores)
FP Marine Risks Ltd.,"Independent Hong Kong Lloyd's broker that specialises in placing Hull, P&I, Liability and Cargo risks in Asia and worldwide.","26/F,
The Centrium,
60 Wyndham Street,
Central,
Hong Kong. ",(852) 2544-3410,(852) 2542-4864,,http://www.fp-marine.com,info@fp-marine.com, Maritime Insurance 
Fratelli Cosulich Bunkers (HK) Ltd,Local & worldwide bunkering services.,"25/F,
Tai Yip Building,
141 Thomson Road,
Wan Chai,
Hong Kong.",(852) 2529-9138,(852) 2529-6104,,http://www.cosulich.it,bunker@cosulich.com.hk, Bunkers
Frever Enterprise Ltd,Serving the Shipping World'' (since over two decades) Agency-Consultancy-Charter Brokers-Representations 'Prompt Personal Attention Always' ,"15-C, 
Mandarin Bldg.,
35 Bonham Strand East,
Hong Kong.","(852) 2541-1705 
(852) 9099-7618",(852) 2543-1940 ,,,frever@netvigator.com , Local Shipping Agents
Fuegy Limited,"Quality Controlled Superyacht and Commercial Bunkering Euro V Diesel Sulphur <0.001% (both white and marked diesel) honest, reliable, safe","3/F,
Nam Wo Hong Building,
148 Wing Lok Street,
Sheung Wan,
Hong Kong.",(852) 9048-0803,,,http://www.fuegy.com,info@fuegy.com, Bunkers
Full Smart Enterprise Limited,"Liferaft servicing station, fire fighting system, EEBD, BA inspection, general ship store & safety equipment supplier.","Factory B, 2/F,
Kingsford Ind. Bldg, Phase 1,
26-32 Kwai Hei Street,
Kwai Chung,
New Territories,
Hong Kong.",(852) 2819-7218 ,(852) 2819-7597 ,,http://www.full-smart.com,fullsmart@full-smart.com, Marine Suppliers (Equipment)
Full Speed Maritime Ltd,"Agency services, ship husbandry, cargo handling, NVOCC service, container leasing, sales & purchases ","10/F, 
Tower I, 
Tern Centre, 
237 Queen's Road Central,
Hong Kong. ",(852) 2542-2323,(852) 2542-0101,,http://www.fullspeed.com.hk,fullspeed@fullspeed.com.hk," Freight Forwarders/Logistics, Local Shipping Agents"
Future Sky Logistics Limited,Future Sky is a freight forwarding agent in Hong Kong providing cost-effective and professional air & ocean shipment around the World.,"Room 1002, 10/F.,
Block A, 
Hoi Luen Industrial Centre,
No.55 Hoi Yuen Road,
Kwun Tong,
Kolwoon, 
Hong Kong.
",(852) 3499-9027,(852) 8265-0546,,http://www.futureskyhkg.com,joelau@futureskyhkg.com, Freight Forwarders/Logistics
G.R. Logistics Limited,"Courier, Air Freight, Sea Freight, Time Critical, Warehousing, E-Commerce Distribution","2/F, 26 Chan Uk Village, 
Mang Kung Uk,
Clear Water Bay,
New Territories,
Hong Kong. ",(852) 9076-1196,,,http://www.gr-logistics.com,sales@gr-logistics.com, Freight Forwarders/Logistics
Global Logistic China Limited,"We provide air freight, sea freight, road freight Sino-Hong Kong courier shipment and logistics services, such as re-packing, labeling, distrubution services.","Unit C, 10/F., 
Blk. 2,
Kwai Tak Industrial Centre,
15-33 Kwai Tak Street,
Kwai Chung, 
New Territories,
Hong Kong. ",(852) 2615-4444,(852)8343-3321,,http://www.glchk.com,alan@glchk.com, Freight Forwarders/Logistics
Global Net Int'l Logistics Co Ltd,Southern China/Pearl Delta sea & air freight forwarding / customs brokerage /professional logistics services. ,"Unit 03, 5/F.,
Texwood Plaza,
No. 6 How Ming Street,
Kwun Tong,
Kowloon,
Hong Kong. ",(852) 2950-0353,(852) 2950-0525 ,,http://www.globalnet.com.hk,mktg@globalnet.com.hk, Freight Forwarders/Logistics
Gold Bridge Shipping Ltd.,"Ship management, operations, chartering agency, chemical tank storage farm.","Room 2006-10,
China Insurance Group Building,
141 Des Voeux Road Central,
Hong Kong.",(852) 2854-2318,"(852) 2854-4704
(852) 2165-5828",,http://www.gbship.com,"marketing@gbship.com
operation@gbship.com"," Ship Management, Shipping Companies"
Gold Star Shipping (HK) Limited,"GSS is well experienced with expert staff esp. for the shipping agency business, transhipment and stevedoring etc.","22/F, 
The Strand,
49 Bonham Strand East,
Sheung Wan,
Hong Kong ",(852) 2543-5559 ,(852) 2581-1330,,http://www.gsshipping.com,"gsshipping@gmail.com
gsshipping1@gmail.com", Local Shipping Agents
Grand Seatrade Shipping Company Limited,Managers for shipowners and general agents.,"Rm. 2607, 
Alexandra House,
18 Chater Road,
Central,
Hong Kong.",(852) 2526-4294,(852) 2810-6780,85146 SETRA HX,,gstrade@gstrade.imsbiz.com.hk, Ship Management
