Company Name,Address,District Number,Telephone Number,Fax Number,Website,Email Address,Category
DNV GL AS,"NO. 3 LOCKHART ROAD,
WAN CHAI,
HONG KONG.",852,2865-3332,2865-3513,http://www.dnvgl.com,"mpchk220@dnvgl.com
gl-hong.kong@dnvgl.com", CLASSIFICATION SOCIETIES
DONG AN MARINE SAFETY EQUIPMENT TRADING LTD.,"CHU KONG GROUP,
SHIPYARD BLDG,
93 HING WAH ST WEST,
LAI CHI KOK,
KOWLOON,
HONG KONG. ",852,"2815-0333
",2419-2207,http://www.yp.com.hk/das13024,dongan@yhckgs.com.hk , MARINE SUPPLIERS (EQUIPMENT)
DONG WOO SHIPPING CO LTD,"COSCO TOWER,183 QUEEN'S RD,CENTRAL,HONG KONG.",852,2534-3700,2534-3754,,dwops@dongwoo.com.hk, LOCAL SHIPPING AGENTS
DR J H BURGOYNE & PARTNERS (INT'L) LTD.,"ARION COMMERCIAL CENTER,
2-12 QUEEN'S ROAD WEST,
SHEUNG WAN,
HONG KONG.",852,2526-6731,2526-6755,http://www.burgoynes.com,hongkong@burgoynes.com.hk, MARITIME CONSULTANCY
DYNAMIC LAUNCH & MARINE SERVICE LTD.,"BEST-O-BEST COMMERCIAL BUILDING,
NO. 32-36 FERRY STREET,
KOWLOON,
HONG KONG.",852,2332-2215,2388-5225,,dlms@netvigator.com, PASSENGER FERRY SERVICES
EAST ASIA SHIPPING (HONG KONG) LTD.,"DOMINION CENTRE,43 QUEEN'S ROAD EAST,WAN CHAI,HONG KONG.",852,2876-0608,2876-0665,,cenmari@pacificgroup.com.hk, SHIPPING COMPANIES
EAST WEST MARITIME LIMITED,"PARK TOWER,
15 AUSTIN ROAD,
JORDAN, 
KOWLOON,
HONG KONG.",852,2739-1911,2369-4820,,ewsa@ewsa.com.hk, LOCAL SHIPPING AGENTS
EASTERN FORUM (FE) CO. LTD.,"FUK ON FACTORY BUILDING,
1123 CANTON ROAD,
KOWLOON,
HONG KONG. ",852,2787-3464,2787-6329,http://www.rescue.com.hk,sales@rescue.com.hk , OTHERS
"EASTERN WORLDWIDE CO, LTD","WESTERN CENTRE,
40-50 DES VOEUX RD WEST,
HONG KONG.",852,2592-3388,"2559-7090
",http://www.eww.com.hk,ship@eww.com.hk, LOCAL SHIPPING AGENTS
EASTLINK,"HONG KONG PLAZA,188 CONNAUGHT ROAD WEST,HONG KONG.",852,2555-0373,"2555-0373
",http://eastlink-logistics.hk,shipping@eastlinkgl.com, FREIGHT FORWARDERS/LOGISTICS
EKASHIP HARDWARE LTD,"CARNIVAL COMMERCIAL BUILDING,
18 JAVA ROAD,
NORTH POINT,
HONG KONG. ",852,2578-5898,2578-6896,http://www.ekaship.com,sales@ekaship.com, MARINE SUPPLIERS (EQUIPMENT)
ELEKON COMPANY,"KOWLOON BUILDING,
555 NATHAN ROAD,
KOWLOON,
HONG KONG",852,2770-6161,2780-7197,http://www.elekonmarine.com,elekon@elekonmarine.com , MARINE SUPPLIERS (EQUIPMENT)
ELETEK TECHNOLOGY LIMITED,"MILLENNIUM CITY 5,418 KWUN TONG ROAD,KWUN TONG,KOWLOON, HONG KONG.",852,2343-9833,2343-2223,http://www.eletek.com,"service@eletek.com
sales@eletek.com ", MARINE SUPPLIERS (EQUIPMENT)
ELITE LOGISTICS (HK) LTD.,"FOOK YIP BUILDING,NO. 53-57, KWAI FUNG CRESCENT,KWAI CHUNG,NEW TERRITORIES,HONG KONG.",852,2375-1887,2375-1812,http://www.elitelogistics.com.hk,elite@elitelogistics.com.hk, FREIGHT FORWARDERS/LOGISTICS
ENDEAVOUR BUNKER TRADING COMPANY LIMITED,"UNIT F, 23/FLOOR,
LUCKY PLAZA,
315-321 LOCKHART ROAD,
WAN CHAI,
HONG KONG.",852,2254-2888,2838-0390,,marine@eb-bunker.com, BUNKERS
ETERNITY SHIPPING AGENCIES LTD.,"YEE ON BUILDING,
26 EAST POINT ROAAD,
CAUSEWAY BAY,
HONG KONG.",852,2545-1212,2541-2085,,eternity@esal.com.hk , LOCAL SHIPPING AGENTS
EVER EARN INTERNATIONAL LTD.,"WORKINGFIELD COMMERCIAL BUILDING,
408-412 JAFFE ROAD,
CAUSEWAY BAY,
HONG KONG. ",852,2559-3193,2559-3293,,everearn@everearn.com.hk , LOCAL SHIPPING AGENTS
EVERGREEN MARINE (HONG KONG) LTD.,"HARCOURT HOUSE, 39 GLOUCESTER ROAD,WAN CHAI, HONG KONG.",852,2825-8211,2845-9162,http://www.evergreen-line.com,null, SHIPPING COMPANIES
EVERSHEDS,"GLOUCESTER TOWER,
THE LANDMARK,
15 QUEEN'S ROAD CENTRAL,
HONG KONG.",852,"2186-3200
",2186-3201,http://www.eversheds.com/global/en/where/asia/hong-kong/services/logistics-and-transport/index.page,williamleung@eversheds.com, MARITIME LAW FIRMS
EXPAT MARINE LIMITED,"SUITE 2404,
UNIVERSAL TRADE CENTRE,
3-5A ARBUTHNOT ROAD,
CENTRAL,
HONG KONG. ",852,2893-3344,2838-0654,http://www.expathk.com,expat@netvigator.com, MARITIME INSURANCE 
EXPRESS MARINE ELECTRONICS COMPANY LIMITED,"MAN SHING INDUSTRIAL BUILDING,
307-311 CASTLE PEAK ROAD,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG. ",852,2904-6215,2904-6235,http://www.eme.com.hk,info@eme.com.hk , MARINE SUPPLIERS (EQUIPMENT)
FAIRMONT SHIPPING (H.K.) LIMITED,"FAIRMONT HOUSE,
8 COTTON TREE DRIVE,
CENTRAL, HONG KONG.",852,2521-8338,2810-4560,,"vcrmnt@fairmontshipping.com
info@fairmontshipping.com", SHIP MANAGEMENT
"FAR EAST MARINE SURVEYORS, LTD","SHUN TAK CENTRE,168-200 CONNAUGHT ROAD, CENTRAL,HONG KONG.",852,2815-1708,2543-1349,,ccsfe@netvigator.com , SURVEYORS
FAST-LINK EXPRESS LIMITED,"SUN FUNG CENTRE,
88 KWOK SHUI ROAD.,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG. ",852,2732-8888,2799-7545,http://www.fastlink-hk.com,info@fastlink-hk.com, FREIGHT FORWARDERS/LOGISTICS
FAT KEE STEVEDORES LTD,"WAYLEE INDUSTRIAL CENTRE,
30-38 TSUEN KING CIRCUIT,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG. ",852,3717-1333,2420-6719,http://www.fkstev.com,fkshqhk@fkstev.com," CONTAINER DEPOTS, CONTAINERIZED FREIGHT SERVICES, GODOWNS & WAREHOUSES, MID-STREAM OPERATORS, SHIP MANAGEMENT"
FEDDERS HYDRAULICS SERVICES CO.,"BLOCK B AND C, 17/F., 
GLEE IND. BLDG.,
77-81 CHAI WAN KOK ST.,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG. ",852,"2492-1119
",2492-9368,http://www.feddershydraulics.com,feddersservices@biznetvigator.com, MARINE SUPPLIERS (EQUIPMENT)
FENWICK SHIPPING SERVICES LTD.,"BLOCK A,
SEA VIEW ESTATE,
2-8 WATSON ROAD,
NORTH POINT,
HONG KONG.",852,2508-1282,2510-7550,http://www.fenwick.hk,fss@fenwick.hk , SHIPPING COMPANIES
FEOSO OIL TRADING LIMITED,"FEOSO BUILDING,
877 LAI CHI KOK ROAD,
KOWLOON,
HONG KONG.",852,3162-3888,3162-3600,http://www.feoso.com,feosobkr@feoso.com.hk, BUNKERS
FERGUSON INTERNATIONAL FREIGHT FORWARDERS LTD.,"WEST GATE TOWER,7, WING HONG STREET,CHEUNG SHA WAN,KOWLOON,HONG KONG.",852,3151-5566,3151-5568,http://www.ferguson-international.com,enquiry@ferguson-international.com, FREIGHT FORWARDERS/LOGISTICS
FIEGE LTD.,"78 HUNG TO ROAD,
KWUN TONG,
KOWLOON,
HONG KONG.",852,2892-0668,2892-0126,http://www.fiege.com,null, FREIGHT FORWARDERS/LOGISTICS
FINE SKY LOGISTICS LTD,"TSUEN WAN, IND., BLDG.,
59-71 WANG LUNG STREET,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG.",852,2612-0912,2612-1950,http://www.finesky.com.hk,roydi@finesky.com.hk, FREIGHT FORWARDERS/LOGISTICS
FLAMELY SHIPPING LTD,"CHEONG TAI COMMERCIAL BLDG.,
60-66 WING LOK STREET,
SHEUNG WAN,
HONG KONG.",852,2180-8585,2180-8586,,flamely@flamely.com.hk , FREIGHT FORWARDERS/LOGISTICS
FLEET MANAGEMENT LIMITED,"DAH SING FINANCIAL CENTRE,
108 GLOUCESTER ROAD,
WAN CHAI,
HONG KONG.",852,2298-8300,2528-1550,http://www.fleetship.com,fml@fleetship.com, SHIP MANAGEMENT
FLYING LEAF SHIPPING LTD.,"TRUST TOWER,
68 JOHNSTON ROAD,
WAN CHAI,
HONG KONG.",852,2866-1205,2866-1676,,flsl@flyleaf.imsbiz.com.hk, SHIP MANAGEMENT
FLYNT INTERNATIONAL FORWARDERS LTD,"NEWPORT CENTRE, PHASE 2,
116 MA TAU KOK ROAD,
TO KWA WAN, 
KOWLOON,
HONG KONG.",852,2627-6100,2764-0664,http://www.flyntworldwide.com,info@flyntworldwide.com, FREIGHT FORWARDERS/LOGISTICS
FORTUNE FERRY CO LTD,"NORTH POINT EAST,
PASSENGER PIER EAST BERTH,
NORTH POINT,
HONG KONG.",852,2994-8155,2565-8683,http://www.fortuneferry.com.hk/,info@fortuneferry.com.hk , PASSENGER FERRY SERVICES
FORTUNE MARINE WHOLESALE LTD,"CENTRE MARK II,
NO. 305 QUEEN'S ROAD,
CENTRAL, 
HONG KONG.",852,2541-3813,2542-3759,http://www.fortunemarine.com,info@fortunehongkong.com, MARINE SUPPLIERS (EQUIPMENT)
FORTUNE PROTECTION SAFETY LTD,"CENTRE MARK II,
NO. 305 QUEEN'S ROAD,
CENTRAL, 
HONG KONG.",852,2541-3813,2542-3759,http://www.fortunemarine.com,info@fortunehongkong.com, MARINE SUPPLIERS (EQUIPMENT)
FP MARINE RISKS LTD.,"THE CENTRIUM,
60 WYNDHAM STREET,
CENTRAL,
HONG KONG. ",852,2544-3410,2542-4864,http://www.fp-marine.com,info@fp-marine.com, MARITIME INSURANCE 
FRATELLI COSULICH BUNKERS (HK) LTD,"TAI YIP BUILDING,
141 THOMSON ROAD,
WAN CHAI,
HONG KONG.",852,2529-9138,2529-6104,http://www.cosulich.it,bunker@cosulich.com.hk, BUNKERS
FREVER ENTERPRISE LTD,"MANDARIN BLDG.,
35 BONHAM STRAND EAST,
HONG KONG.",852,2541-1705,2543-1940,,frever@netvigator.com , LOCAL SHIPPING AGENTS
FUEGY LIMITED,"NAM WO HONG BUILDING,
148 WING LOK STREET,
SHEUNG WAN,
HONG KONG.",852,9048-0803,null,http://www.fuegy.com,info@fuegy.com, BUNKERS
FULL SMART ENTERPRISE LIMITED,"KINGSFORD IND. BLDG, PHASE 1,
26-32 KWAI HEI STREET,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,2819-7218,2819-7597,http://www.full-smart.com,fullsmart@full-smart.com, MARINE SUPPLIERS (EQUIPMENT)
FULL SPEED MARITIME LTD,"TERN CENTRE, 
237 QUEEN'S ROAD CENTRAL,
HONG KONG. ",852,2542-2323,2542-0101,http://www.fullspeed.com.hk,fullspeed@fullspeed.com.hk, FREIGHT FORWARDERS/LOGISTICS
FUTURE SKY LOGISTICS LIMITED,"HOI LUEN INDUSTRIAL CENTRE,
NO.55 HOI YUEN ROAD,
KWUN TONG,
KOLWOON, 
HONG KONG.
",852,3499-9027,8265-0546,http://www.futureskyhkg.com,joelau@futureskyhkg.com, FREIGHT FORWARDERS/LOGISTICS
G.R. LOGISTICS LIMITED,"CHAN UK VILLAGE, 
MANG KUNG UK,
CLEAR WATER BAY,
NEW TERRITORIES,
HONG KONG. ",852,9076-1196,null,http://www.gr-logistics.com,sales@gr-logistics.com, FREIGHT FORWARDERS/LOGISTICS
GLOBAL LOGISTIC CHINA LIMITED,"KWAI TAK INDUSTRIAL CENTRE,15-33 KWAI TAK STREET,KWAI CHUNG,NEW TERRITORIES,HONG KONG. ",852,2615-4444,null,http://www.glchk.com,alan@glchk.com, FREIGHT FORWARDERS/LOGISTICS
GLOBAL NET INT'L LOGISTICS CO LTD,"TEXWOOD PLAZA,
NO. 6 HOW MING STREET,
KWUN TONG,
KOWLOON,
HONG KONG. ",852,2950-0353,2950-0525,http://www.globalnet.com.hk,mktg@globalnet.com.hk, FREIGHT FORWARDERS/LOGISTICS
GOLD BRIDGE SHIPPING LTD.,"CHINA INSURANCE GROUP BUILDING,
141 DES VOEUX ROAD CENTRAL,
HONG KONG.",852,2854-2318,"2854-4704
(852)",http://www.gbship.com,"marketing@gbship.com
operation@gbship.com", SHIP MANAGEMENT
GOLD STAR SHIPPING (HK) LIMITED,"THE STRAND,
49 BONHAM STRAND EAST,
SHEUNG WAN,
HONG KONG ",852,2543-5559,2581-1330,http://www.gsshipping.com,"gsshipping@gmail.com
gsshipping1@gmail.com", LOCAL SHIPPING AGENTS
GRAND SEATRADE SHIPPING COMPANY LIMITED,"ALEXANDRA HOUSE,
18 CHATER OAD,
CENTRAL,
HONG KONG.",852,2526-4294,2810-6780,,gstrade@gstrade.imsbiz.com.hk, SHIP MANAGEMENT
GRANDFAME SHIP MANAGEMENT LTD,"CONNAUGHT ROAD, WESTSHEUNG WAN,HONG KONG.",852,2375-2068,2858-1389,http://www.gfship.hk,gfship@gfship.hk, LOCAL SHIPPING AGENTS
GREATER CHINA TRANSPORT LOGISTICS,"MILLENNIUM CITY 5,418 KWUN TONG ROAD,KWUN TONG,KOWLOON, HONG KONG.",852,2562-9195,2516-7094,http://www.gctl8.com,info@GCTL8.com, SHIPPING PUBLICATIONS
GREENS (HK) LTD.,"MEI KEI IND. BLDG,
30-40 WING LAP STREET,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,3528-0040,3528-0048,http://www.greens.com.hk,raja@greens.com.hk, MARINE SUPPLIERS (EQUIPMENT)
G-STAR LOGISTICS (HK) LTD,"YEE LIM IND CENTRE,
BLOCK A,
2-28 KWAI LOK ST,
NEW TERRITORIES,
HONG KONG. ",852,3188-2367,null,,vincenttang@g-starlogistics.com, SHIPPING COMPANIES
GUANGDONG AND HONG KONG FEEDER ASSOCIATION LTD.,"PARKLANE BUILDING,
235 QUEEN'S ROAD CENTRAL,
SHEUNG WAN, 
HONG KONG.",852,2137-9351,3585-3009,http://www.ghkfal.org,info@ghkfal.org, TRADE/SHIPPING ORGANIZATIONS
GUANGZHOU SHUI NAM LOGISTICS SERVICES LTD. ,"TERN CENTRE, TOWER 1,
237 QUEEN'S ROAD,
CENTRAL,
HONG KONG.",852,2815-1812,2851-9997,http://www.shuinam.com.hk,kennethchan@shuinam.com.hk , FREIGHT FORWARDERS/LOGISTICS
GUIDELINE (HK) LIMITED,"TECHNOLOGY PARK,
18 ON LAI STREET,
SHA TIN,
HONG KONG ",852,3741-6500,3741-6501,http://www.guideline.com.hk,prijual@guideline.com.hk, FREIGHT FORWARDERS/LOGISTICS
GULF AGENCY COMPANY (HONG KONG) LTD,"SML TOWER, 
165 HOI BUN ROAD,
KWUN TONG,
KOWLOON,
HONG KONG.",852,2723-6306,2723-3413,http://www.gac.com,hongkong@gac.com, FREIGHT FORWARDERS/LOGISTICS
H AND H CONSULTANTS & SURVEY LIMITED,"ON FUK IND. BLDG.,
NO. 41-45 KWAI FUNG CRESCENT,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,2439-9111,2439-6222,http://hench.com.hk,info@hench.com.hk, SURVEYORS
HAI FU MARINE ELECTRICAL & HARDWARE CO.,"HONG KONG INDUSTRIAL BLDG,
444-452 DES VOEUX ROAD WEST,
HONG KONG. ",852,2559-2527,2858-4064,,haifu@netvigator.com , MARINE SUPPLIERS (EQUIPMENT)
HAI LUEN TRADING CO. (HK) LTD.,"9 DES VOEUX RD WEST,
HONG KONG.",852,2545-0956,2815-0594,http://www.hailuen.com,hlstore@hailuen.com, MARINE SUPPLIERS (EQUIPMENT)
"HAIDA UNITED MARINE TECH-SERVICES CO.,LTD.","YARDLEY COMMERCIAL BUILDING,
3 CONNAUGHT ROAD WEST
HONG KONG.",852,"2526-1833
(852)",2537-6477,http://www.hdumarine.com,hdum.hk@hdumarine.com, SURVEYORS
HANNAFORD FORENSIC SERVICES (ASIA) LTD,"HOSEINEE HOUSE,
69 WYNDHAM STREET,
CENTRAL,
HONG KONG.",852,2458-0577,2548-0588,http://www.hfs-asia.com,hongkong@hfs-asia.com, MARITIME CONSULTANCY
HANSEN EXHIBITION FORWARDING LTD,"NEW COMMERCE CENTRE,
19 ON SUM STREET,
SIU LEK YUEN,
NEW TERRITORIES,
HONG KONG.",852,2367-2303,2369-0479,,info@hansenhk.com , FREIGHT FORWARDERS/LOGISTICS
HARBOUR CITY ESTATES LTD,"SOUTH TOWER,
WORLD FINANCE CENTRE HARBOUR CITY,
CANTON ROAD,
TSIM SHA TSUI,
KOWLOON,
HONG KONG.",852,2118-8668,2736-2481,http://www.oceanterminal.com.hk,operations@terminal.harbourcity.com.hk , CRUISE TERMINAL
HELLENBERG INTERNATIONAL LIMITED,"NO 9 QUEEN' S ROAD CENTRAL, 
HONG KONG.",852,3189-7634,3189-7689,http://www.hellenberg.org,office@hellenberg.org, MARITIME CONSULTANCY
HELMSMAN SUPPLY LIMITED,"HONG KONG PLAZA,188 CONNAUGHT ROAD WEST,HONG KONG.",852,2851-9292,2851-7799,http://www.helmsmansupply.com/,fix@helmsmansupply.com, BUNKERS
HEMPEL (CHINA) LTD.,"BEA TOWER,
MILLENNIUM CITY 5,
418 KWUN TONG ROAD,
KOWLOON,
HONG KONG.",852,2857-7663,2517-6311,http://www.hempel.com,dac@hempel.com, PAINTS & COATINGS
HENCH PUBLIC MARINE & CARGO SURVEY (H.K.) LTD.,"ON FUK IND. BLDG.,
NO. 41-45 KWAI FUNG CRESCENT,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,2439-9111,2439-6222,http://www.hench.com.hk,info@hench.com.hk, MARITIME CONSULTANCY
HILL DICKINSON HONG KONG,"LIPPO CENTRE,
89 QUEENSWAY,
ADMIRALTY,
HONG KONG.",852,2525-7525,2525-7526,http://www.laracyco.com,hkinquiries@hilldickinson.com., MARITIME LAW FIRMS
HOLMAN FENWICK WILLAN,"LIPPO CENTRE,
89 QUEENSWAY,
ADMIRALTY,
HONG KONG.",852,3983-7788,3983-7766,http://www.hfw.com,Holmans@hfw.com, MARITIME LAW FIRMS
HONEST OVERSEAS MARINE SERVICES LTD. ,"YUE FUNG INDUSTRIAL BUILDING,
35-45 CHAI WAN KOK STREET,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG. ",852,3582-4338,3522-7262,http://www.homs-marine.com,operations@homs-marine.com, SURVEYORS
HONG KONG & KOWLOON MOTOR BOATS & TUG BOATS ASSOCIATION LTD,"MAN CHEONG BLDG,
FERRY POINT,
KOWLOON,
HONG KONG.",852,2384-1435,2780-8156,http://www.mbta.org.hk,info@mbta.org.hk, TRADE/SHIPPING ORGANIZATIONS
HONG KONG EXPORT CREDIT INSURANCE CORPORATION,"SOUTH SEAS CENTRE,
75 MODY ROAD,
TSIM SHA TSUI EAST,
KOWLOON,
HONG KONG.",852,2732-9988,2722-6277,http://www.hkecic.com,info@hkecic.com, TRADE/SHIPPING ORGANIZATIONS
HONG KONG PILOTS ASSOCIATION LTD,"HONG KONG PLAZA,188 CONNAUGHT ROAD WEST,HONG KONG.",OFFICE,"HOURS:
(852)","2803-0859
PILOT",,enquiry@hkpilots.com, PILOTS
"HONG KONG QIANHE SHIPPING (GROUP) CO., LTD.","SHUN TAK CENTRE,168-200 CONNAUGHT ROAD, CENTRAL,HONG KONG.",852,2548-1808,2548-1012,http://www.qianheshipping.com,sales@qianheshipping.com, OTHERS
HONG KONG SEA TRANSPORT AND LOGISTICS ASSOCIATION ,"PROFICIENT IND. CTR.,
6 WANG KWUN ROAD,
KOWLOON BAY,
HONG KONG.",852,2687-2633,2687-2733,http://www.hkstla.org,info@hkstla.org, TRADE/SHIPPING ORGANIZATIONS
HONG KONG SHIPPING GAZETTE,"EASTERN CENTRE,
1065 KING'S ROAD,
QUARRY BAY,
HONG KONG.",852,2880-9555,2563-0723,http://www.shippingazette.com,info@shippingazette.com, SHIPPING PUBLICATIONS
HONG KONG SHIPPING REGISTRY,"HARBOUR BLDG,
38 PIER ROAD,
CENTRAL,
HONG KONG.",852,2852-4387,2541-8842,../home.html,hksr@mardep.gov.hk, SHIPPING REGISTRIES
HONG KONG SHIPS' FUMIGATION CO. LTD.,"INTERNATIONAL TRADE CENTRE,
11-19 SHA TSUI RD,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG.",852,2891-2730,2838-2149,http://www.hkshipsfumigation.com,info@hkshipsfumigation.com, OTHERS
"HONG KONG SHIPS SUPPLIES CO., LTD.","BONHAM TRADE CENTRE,
50 BONHAM STRAND,
SHEUNG WAN,
HONG KONG.",852,2522-1892,2868-1748,http://www.hkshipsupplies.com.hk,charts@hkshipsupplies.com.hk, MARINE SUPPLIERS (EQUIPMENT)
HONGKONG ASSOCIATION OF FREIGHT FORWARDING AND LOGISTICS LTD.,"CHINA HONG KONG CENTRE,
122-126 CANTON RD,
TSIM SHA TSUI,
KOWLOON,
HONG KONG.",852,2796-3121,2796-3719,http://www.haffa.com.hk,enquiry@haffa.com.hk, FREIGHT FORWARDERS/LOGISTICS
HONGKONG INTERNATIONAL TERMINALS LIMITED,"CONTAINER PORT ROAD SOUTH,
KWAI CHUNG,
HONG KONG. ",852,2619-7888,2480-4765,http://www.hit.com.hk,gca@hit.com.hk, CONTAINER TERMINALS
HONGKONG SALVAGE & TOWAGE,"HUD ADMINISTRATION BUILDING,
TYTL 108RP, 
SAI TSO WAN ROAD,
TSING YI,
NEW TERRITORIES,
HONG KONG.",852,2612-6800,2480-5894,http://www.hktug.com,hkst@hktug.com, TOWAGE & SALVAGE
HONGKONG STORAGE,"YEUNG YIU CHUNG (NO.6) INDUSTRIAL BUILDING,
19 CHEUNG SHUN STREET,
CHEUNG SHA WAN,
KOWLOON,
HONG KONG. ",852,2817-6486,null,http://www.hongkongstorage.com,info@hongkongstorage.com, GODOWNS & WAREHOUSES
HONGKONG UNITED DOCKYARDS LTD,"SAI TSO WAN RD,TSING YI ISLAND,NEW TERRITORIES,HONG KONG.",852,2431-2828,2433-0180,http://www.hud.com.hk,shiprepair@hud.com.hk, SHIPYARDS/SHIP REPAIRERS
HONOUR MARINE SAFETY EQUIPMENT CO LTD,"KINGSFORD IND. BLDG, PHASE 1,
26-32 KWAI HEI STREET,
KWAI CHUNG,
NEW TERRITORIES,
HONG KONG.",852,2819-8417,2819-8443,http://www.honourmarine.com,honourms@netvigator.com , MARINE SUPPLIERS (EQUIPMENT)
HOSANNA LOGISTICS LTD,"SHIU FUNG HONG BUILDING,239-241 WING LOK STREET,SHEUNG WAN,HONG KONG. ",852,2723-5188,"2723-7188
(852)",,info@hosanna-logistics.com.hk , FREIGHT FORWARDERS/LOGISTICS
HOULDER INSURANCE BROKERS FAR EAST LTD.,"CHINA MERCHANTS TOWER,
168-200 CONNAUGHT RD.,
CENTRAL,
HONG KONG. ",852,2890-5302,2577-7545,http://www.cmhoulder.com,hib@cmhoulder.com, MARITIME INSURANCE 
HOWSE WILLIAMS BOWERS,"ALEXANDRA HOUSE,
18 CHATER OAD,
CENTRAL,
HONG KONG.",852,2803-3688,2803-3608,http://www.hwbhk.com,chris.howse@hwbhk.com, MARITIME LAW FIRMS
HSING LOONG COMPANY LTD,"TEXACO ROAD,
SUITE 1012,
TSUEN WAN,
NEW TERRITORIES,
HONG KONG.",852,2545-0877,2815-1765,http://hsingloongroup.tripod.com,hsingloongroup@yahoo.com , FREIGHT FORWARDERS/LOGISTICS
ICF CONSULTING SERVICES HONG KONG LIMITED,"HENG SHAN CENTRE,
145 QUEEN'S ROAD EAST,
WANCHAI,
HONG KONG.",852,,2530-4302,http://www.icfi.com/markets/transportation/ports-and-logistics,hongkong@icfi.com, MARITIME CONSULTANCY
IFL SHIPPING (HK) LTD.,"NEW VENTURE CENTRE,NO. 18, LAM TIN STREET,KWAI CHUNG, NEW TERRITORIES,HONG KONG.",852,2787-7610,2787-2677,,inquiry@ifl.com.hk, FREIGHT FORWARDERS/LOGISTICS
IHS HONG KONG LIMITED,"NO. 1 CHATHAM ROAD SOUTH,
TSIM SHA TSUI, 
KOWLOON,
HONG KONG",852,2731-8919,2312-6792,http://www.ihsfairplay.com,Anthony.Lim@ihs.com, INFORMATION SYSTEM
IJIN MARINE LIMITED,"SAN TOI BUILDING,
139 CONNAUGHT ROAD CENTRAL,
HONG KONG",852,2139-3077,2139-3217,http://www.ijinmarine.net,sales@ijinmarine.com, SHIP MANAGEMENT
INCE & CO,"CITIBANK PLAZA,
3 GARDEN ROAD,
CENTRAL,
HONG KONG",852,2877-3221,2877-2633,http://www.incelaw.com,hkinfo@incelaw.com, MARITIME LAW FIRMS
INCHCAPE SHIPPING SERVICES (HK) LTD.,"ENTERPRISE SQUARE,
9 SHEUNG YUET ROAD,
KOWLOON BAY,
HONG KONG.",852,2746-7312,2744-3240,http://www.iss-shipping.com,ssdhk@iss-shipping.com , LOCAL SHIPPING AGENTS
INFRARED ENGINEERING AND CONSULTANTS LIMITED,"SUITE 1901, 19/F,
LUCKY CENTRE,
165-171 WANCHAI ROAD,
HONG KONG.",852,2550-2330,2550-1179,http://www.infrared.hk,info@infrared.hk, MARINE SUPPLIERS (EQUIPMENT)
INTERNATIONAL BUNKER SERVICES LIMITED,"SUN HUNG KAI CENTRE,
30 HARBOUR ROAD,
WAN CHAI,
HONG KONG.",852,2190-8888,2511-9211,http://www.ibskk.com,hk@ibskk.com, BUNKERS
INTERNATIONAL FREIGHT EXPRESS (H.K.) LTD,"YUEN FAT IND BLDG,
25 WANG CHIU RD,
KOWLOON BAY,
KOWLOON,
HONG KONG.",852,2331-4210,2707-0089,http://www.ifehkg.com,general@ifehkg.com, FREIGHT FORWARDERS/LOGISTICS
INTERNATIONAL PAINT (HONG KONG) LTD,"148 ELECTRIC RD,
NORTH POINT,
HONG KONG.",852,2508-7700,2827-9488,http://www.internationalpaint.com,spandau.chin@akzonobel.com, PAINTS & COATINGS
INTERNATIONAL SHIPPING AGENCIES LTD.,"ETON BUILDING,
288 DES VOEUX ROAD C.,
HONG KONG.",852,2543-8848,2815-3275,,shipreg@pg02.com, MARITIME CONSULTANCY
INTEROCEAN SHIPPING COMPANY LTD.,"HARBOUR COMM BLDG,
122 CONNAUGHT RD,
CENTRAL,
HONG KONG.",852,2541-2634,2541-6449,,info@interocean.com.hk, SHIPPING COMPANIES
INTERTEK TESTING SERVICES HONG KONG LTD,"GARMENT CENTRE,
576 CASTLE PEAK ROAD,
KOWLOON,
HONG KONG. ",852,2197-1838,2307-0373,http://www.intertek.com,gen.info@intertek.com, SURVEYORS
IRWIN MARINE SERVICES,"HUA CHIAO COMMERCIAL CENTRE,
678 NATHAN ROAD,
MONG KOK,
KOWLOON,
HONG KONG. ",852,"5128-3422
",null,http://www.irwin.com.hk,David.Schaus@irwin.com.hk, SHIPYARDS/SHIP REPAIRERS
ISM SHIPPING AGENT COMPANY,"KAI KWONG COMMERCIAL BUILDING,
332 LOCKHART ROAD,
WAN CHAI,
HONG KONG",852,"2802-2815
(852)",2802-2817,http://www.ismsac.com,ism@biznetvigator.com, LOCAL SHIPPING AGENTS
IWK SURVEY LIMITED,"WAH FAT INDUSTRIAL BUILDING,
10-14 KUNG YIP STREET,
KWAI CHUNG, 
NEW TERRITORIES,
HONG KONG.",852,2610-0224,2610-0453,,survey@iwk.com.hk, SURVEYORS
